LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
2333087,0.551462,0.551424,0.551443,0.999931,560,29.8,3.5,39.6,3.3,15.03,0.72,202,90.2,8.0,111.0,8.6,15.07,0.88,1.8134,1.8473,29.5072,0.0896,12.6236,1.8135,1.8304,59.0842,0.004,7.1818,0.16,7e-05,,LZ5,9.0
2334384,0.555341,0.555333,0.555337,0.999986,443,10.5,2.0,10.7,2.1,15.01,0.63,204,84.7,6.5,88.6,6.6,15.0,0.88,1.8007,1.8346,29.5377,0.0505,9.9968,1.8007,1.8353,28.9394,0.0038,6.6725,0.25,1e-05,,LZ5,7.0
2397296,0.488814,0.488836,0.488825,1.000045,522,3.2,1.2,3.9,1.3,16.17,0.65,196,78.9,6.6,84.1,6.8,16.02,1.01,2.0458,2.0796,29.5421,0.0595,14.0709,2.0457,2.0672,46.5224,0.0206,14.176,0.36,5e-05,,LZ5,9.0
2414841,0.559611,0.559592,0.559602,0.999966,522,5.6,1.7,6.5,1.8,15.25,0.69,305,62.8,5.7,79.8,6.0,15.33,1.09,1.787,1.8208,29.5421,0.0855,11.1928,1.787,1.792,201.2072,0.0092,11.4217,0.4,3e-05,,LZ5,8.0
2455568,0.594119,0.594092,0.594106,0.999955,337,7.7,2.0,15.1,2.4,14.79,0.62,448,6.4,2.1,12.0,2.6,14.75,0.57,1.6832,1.717,29.5946,0.0802,9.8075,1.6832,1.6862,339.5586,0.0102,9.9798,0.05,5e-05,,LZ3,5.0
2574370,0.546512,0.546524,0.546518,1.000022,433,20.7,2.4,20.7,2.4,15.01,0.73,153,43.2,3.3,47.5,3.5,15.03,0.97,1.8298,1.8637,29.4551,0.0516,11.5507,1.8297,1.9162,11.5634,0.0174,3.5273,0.24,2e-05,,LZ4,6.0
2612592,0.571562,0.571543,0.571552,0.999967,270,2.4,1.3,3.5,1.4,15.31,0.76,1391,24.8,2.8,27.7,2.9,15.26,0.7,1.7496,1.8173,14.7787,0.0978,5.8651,1.7496,1.7544,208.5506,0.0068,18.0944,0.06,3e-05,,LZ3,5.0
2653982,0.607082,0.60711,0.607096,1.000046,534,1.3,1.0,7.2,1.5,15.43,1.01,294,8.3,2.1,15.7,2.3,15.44,0.92,1.6472,1.681,29.5989,0.1026,14.2957,1.6471,1.6526,182.3154,0.0313,14.4972,0.09,5e-05,,LZ3,6.0
2657618,0.469873,0.469872,0.469872,0.999998,410,2.3,1.0,2.4,1.1,15.55,1.08,220,17.1,2.3,17.1,2.3,15.38,1.46,2.1282,2.191,15.9286,0.0767,13.7186,2.1282,2.191,15.9388,0.0229,24.1644,0.38,0.0,,LZ3,5.0
2683009,0.606278,0.60621,0.606244,0.999888,180,63.6,6.6,69.4,5.7,14.73,0.82,892,88.8,7.4,102.1,8.7,14.88,0.52,1.6494,1.6833,29.4942,0.1386,6.6443,1.6496,1.6603,93.7207,0.0028,17.082,0.3,0.00011,,LZ5,9.0
