ID,Porig,Pnew,ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,lab,bab
12347656,0.59893294,0.59892954,218.365753,10.617693,1.18,0.34,0.85,0.29,-0.2226218,0.53,-0.26,-1.31,15.65,240,1,0.058014744336291724,1.0623644623964283
12355665,0.67651215,0.67651312,221.291336,1.509653,1.15,0.31,1.24,0.36,-0.1697244,0.77,-0.47,-0.93,15.04,247,1,-0.09564404300929041,0.9179908266714575
12358313,0.41459599,0.41459425,220.58667,2.343381,1.16,-0.01,0.87,0.31,-0.3823749,0.37,0.04,-1.34,15.01,226,2,-0.09337511498169704,0.9369974622256758
12359105,0.50467396,0.50466687,221.183777,2.508706,1.17,0.32,1.05,0.29,-0.2969891,0.81,-0.81,-0.62,15.94,215,1,-0.07751007208106842,0.931709114592133
12365386,0.32559903,0.32560024,221.599731,-0.115818,1.22,-0.09,0.72,0.28,-0.4873169,0.36,0.24,-1.37,15.01,211,2,-0.12109094350336491,0.8937482033612563
12368648,0.49824598,0.49824721,220.062943,0.727175,1.18,0.32,1.29,0.15,-0.3025562,0.81,-0.99,-0.35,15.99,235,1,-0.13688617323391483,0.922755575529402
12369016,0.73088391,0.73089735,221.577164,0.222561,1.06,0.33,1.26,0.22,-0.1361516,0.56,-0.61,-0.92,15.56,190,1,-0.11506955758398618,0.8983209660014814
12382106,0.49902798,0.49902105,221.498016,11.468655,1.23,-0.34,0.88,0.54,-0.3018751,0.93,-0.49,-0.42,16.3,208,1,0.14507176742576888,1.0278243964994607
12383709,0.49280204,0.49280248,221.92395,12.539677,1.17,0.27,0.8,0.06,-0.3073275,0.78,-0.87,-0.15,15.73,201,1,0.18313739841176524,1.032065546581807
12389449,0.73268483,0.73267344,221.1586,12.138092,1.09,0.34,1.37,0.46,-0.1350828,0.47,0.01,-1.23,15.57,196,1,0.15765559133264784,1.0391690366374238
12405343,0.62346704,0.62346571,221.574341,15.018666,1.22,0.35,1.09,0.14,-0.2051865,0.44,-0.12,-0.96,15.22,154,1,0.25118778594702373,1.0593450427904783
12409868,0.56565196,0.5656479,221.057632,15.106883,1.19,0.32,1.01,0.59,-0.2474507,0.81,2.24,12.98,16.76,121,1,0.24521875990520314,1.067705169907531
12412349,0.59735293,0.59735598,221.989395,16.870161,1.2,0.33,1.02,0.35,-0.223769,0.69,-0.72,-0.72,14.88,221,1,0.3168470724070507,1.0681065956354898
12432893,0.42122797,0.42123168,220.075363,20.025625,1.17,0.1,0.74,0.22,-0.3754828,0.44,1.29,9.03,16.62,248,2,0.3992266131011828,1.1192098361338838
12464278,0.74921506,0.74921412,221.868347,26.256775,1.17,0.35,1.17,0.14,-0.1253935,0.72,-0.05,-1.31,15.52,169,1,0.6575702489813837,1.119192382841364
12464670,0.6373349,0.63734052,220.144485,25.960653,1.16,0.33,1.14,0.21,-0.1956323,0.65,-0.73,0.81,16.57,185,1,0.635928166256654,1.1451279755259995
12473468,0.56176904,0.56174692,221.917831,25.977514,1.15,0.29,1.2,0.23,-0.2504422,0.59,-0.74,-0.61,14.89,177,1,0.6468190207890987,1.1176913996846487
12481648,0.32298503,0.32298996,221.667252,27.443754,1.24,-0.17,0.68,0.14,-0.4908176,0.34,-0.01,-1.31,15.41,209,2,0.7040309136694729,1.1249345160804252
12496042,0.54366703,0.5436658,220.56102,3.963272,1.15,0.35,1.14,0.1,-0.264667,0.8,-0.73,-0.81,15.95,215,1,-0.05960299395560753,0.9572432815488099
