LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
3218931,0.693979,0.693941,0.694,0.9999,274,0.0499011100764189,28.8,2.6,0.0671446445832487,48.3,3.4,14.24,0.79,169,0.0460994908451978,5.2,2.1,0.0592330735472654,14.9,2.6,14.28,0.58,1.441,1.5088,14.7395,0.0912,2.4484,1.441,1.4439,354.6099,0.0791,11.6797,0.21,5e-05,NaN,L,6
3219035,0.326746,0.65309,0.4899,1.9988,376,0.2276583527119551,23.9,3.9,0.4986652092197295,45.8,7.0,14.83,0.32,167,0.1506967369947371,17.5,3.0,0.8010478216297248,49.9,9.5,14.93,0.24,3.0605,3.1287,14.6692,0.0327,10.1934,1.0031,1.0285,39.3391,0.0653,4.6379,0.08,0.66614,NaN,Z,9
3497192,0.316746,0.316743,0.3167,1.0,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1571,3.191,29.4898,0.0253,22.0288,1.0524,1.0776,39.6825,0.2484,9.9352,0.0,1e-05,Z,NaN,NaN
3589854,0.612893,0.986573,0.7997,1.6097,468,0.1100567167418435,29.1,3.9,0.6124053714821027,159.5,10.3,14.57,0.49,41,0.6118338796396176,95.7,10.3,0.410544943385752,99.1,7.9,14.58,0.2,1.6316,1.6656,29.4031,0.0565,15.3618,0.5437,0.5688,39.8327,0.214,2.8312,0.29,0.46728,NaN,Z,11
3605747,0.631099,0.631118,0.6311,1.0,220,0.1015138013361819,1.0,1.0,0.1059731023114406,1.0,1.0,15.47,0.37,277,0.1033519845393322,5.6,2.1,0.1071865724312911,6.3,2.2,15.43,0.24,1.5845,1.5985,71.582,0.0758,6.563,1.5845,1.5873,351.4938,0.0389,15.4104,0.13,3e-05,L,NaN,NaN
3632428,0.710123,0.710081,0.7101,0.9999,216,0.1130117741538827,1.1,0.9,0.139286195353819,1.4,1.0,15.65,0.39,361,0.057309122679566,1.7,1.2,0.0633841086201379,2.5,1.4,15.64,0.29,1.4082,1.4121,254.4529,0.1064,8.1744,1.4083,1.412,270.636,0.0416,8.0885,0.1,6e-05,L,NaN,NaN
3649421,0.571508,0.571508,0.5715,1.0,359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7498,1.7837,29.4638,0.0839,8.334,1.0013,1.0053,247.8315,0.66,11.201,0.0,0.0,Z,NaN,NaN
3663882,0.341128,0.682259,0.5117,2.0,486,0.104611136896261,47.3,2.4,1.2293146267127613,120.8,11.3,14.55,0.35,42,0.0477114863944004,1.8,1.3,0.4982891080844444,69.3,9.6,14.63,0.3,2.9314,2.9653,29.577,0.0198,17.978,1.0032,1.0063,324.6753,0.173,15.6319,0.05,0.66666,Z,NaN,NaN
3666049,0.528692,0.528696,0.5287,1.0,507,0.0698444684535036,0.6,0.8,0.0815809116347036,1.1,0.9,16.25,0.91,41,0.0259369125662379,1.5,1.0,0.0288025051133869,1.8,1.1,16.3,0.71,1.8915,1.9254,29.4898,0.0499,12.5177,0.9457,0.9647,52.6316,0.2286,10.7285,0.2,1e-05,Z,NaN,NaN
3672628,0.612999,0.612997,0.613,1.0,474,0.0888728184949505,1.4,1.1,0.0941135090417524,1.5,1.1,16.07,0.97,42,0.0285432639112009,1.8,1.2,0.0285970810596661,1.7,1.2,16.22,0.75,1.6313,1.6651,29.577,0.0441,8.6111,1.3159,1.334,55.2486,0.1111,5.9458,0.22,0.0,Z,NaN,NaN
3729253,0.572174,1.000198,0.7862,1.7481,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7477,1.767,51.8672,0.1111,6.6422,0.0,0.0,0.0,0.0,0.0,0.0,0.54442,L,NaN,NaN
