index,Period,N
4987,0.5574680621327364,2079
4990,0.6905910733755242,227
4991,0.5773056801346798,2236
4994,0.6347188087051071,964
4998,0.5622633262685041,937
5001,0.3146742648185332,124
5002,0.0,0
5003,0.33766888680680024,899
5008,0.0,0
5011,0.5842240647988193,541
5013,0.7255735365149937,1074
5014,0.6527336802764054,1140
5017,0.717184433306357,1048
5018,0.5792027156463001,1150
5022,0.5544231934461546,44
5026,0.5424666841568861,898
5028,0.4969174824357831,1365
5029,0.48315395456313553,1287
5030,0.5908824680135729,1372
5034,0.5515399076089617,414
5036,0.3347116990254666,1573
5038,0.4878220420696691,1522
5040,0.5344854600636224,3038
5042,0.5562982606711407,3065
5049,0.4910015604086042,905
5052,0.3167464167020502,917
5054,0.0,0
5055,0.36682657629425125,542
5058,0.8011345803075337,535
5060,0.5476208317679968,517
5061,0.5198288371101261,1484
5064,0.3585071257569057,2911
5067,0.6732572538536511,1553
5069,0.0,0
5073,0.5874169943875135,1682
5074,0.5275060162811108,1577
5076,0.6549145570332178,113
5079,0.1222154399113601,45
5083,0.6119208401051073,1574
5087,0.5225053983172063,1482
5088,0.6134627180684853,1526
5092,0.6639094404613585,1521
5096,0.43704838987887124,13
5099,0.6129329959904036,971
5100,0.5586254985472522,982
5101,0.5737364920555325,29
5105,0.5795975079547206,3709
5106,0.6311120671326771,3252
5107,0.3655429965184734,2009
5113,0.6324805315727103,2045
5114,0.5334031723822849,2040
5117,0.6231964136780651,611
5118,0.7101003420722687,3624
5119,0.9971572221466685,42
5122,0.5936184953687498,933
5123,0.0,0
5124,0.6268178761469436,937
5127,0.6041360922962041,1125
5130,0.5714985526614167,1495
5132,0.0,0
5133,0.3411262327193578,942
5134,0.528694890687456,936
5135,0.5960850279349255,941
5136,0.6130135840975582,939
5145,0.9973286633188256,36
5147,0.6782368513685914,1129
5148,0.5121730793218299,1087
5155,0.6886457447972477,1312
5156,3.649200969128069,44
5162,0.6137756839192153,1352
5163,0.5707317427548421,1282
5165,0.7579063338887297,1475
5169,0.6958102137074198,1479
5171,0.5294407800068015,74
5177,0.613215147108145,938
5180,0.650734406850226,534
5181,0.5876760418780523,1508
5182,0.5434278151752671,1563
5185,0.6172734494218214,1596
5187,0.3808477620663571,1549
5195,0.619069135281063,1851
5197,0.5889477239781934,1768
5204,0.7148080421845704,3487
5205,0.5321950822988902,956
5209,0.5303487066401255,943
5214,0.6458613837850962,1136
5218,0.5318878517586946,79
5220,0.5200423061372867,525
5223,0.5834684699652178,1062
5225,0.1591839080918369,37
5226,0.13727573463588466,38
5229,0.5715506046556253,51
5230,0.3870386233855364,1094
5231,0.4649800004997134,453
5233,0.492755436227395,452
5234,0.3400057185041874,1369
5236,0.5729626721531211,199
5239,0.6565141212729245,357
5240,0.6479751429167661,1176
5242,0.35233916470921883,1362
5244,0.7226226032349382,755
5246,0.0,0
5250,0.5232388171029367,2714
5252,0.6003446198264474,245
5254,0.6113007439148249,606
5255,0.7025201023844493,1570
5256,0.37925370936451397,1464
5260,0.4797252833412657,149
5263,0.39900513872189275,1583
5264,0.6266944842904659,1481
5265,0.5913222444909481,1447
5266,0.517311682686692,485
5268,0.5842007116368085,154
5272,0.6018620450188785,1599
5275,0.29547520695324947,1881
5277,0.6814622539653594,3440
5279,0.7364583014146662,1930
5289,0.4995842222594889,36
5290,0.34439162142606006,683
5293,0.5960458720963964,306
5294,0.5663603516744228,528
5295,0.4763611787270924,1949
5296,0.48228634422337524,2001
5299,0.1591839080918369,36
5300,0.26776712183950974,980
5301,0.39223741285464936,2088
5302,0.33298789641938964,23
