LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ
9968431,0.302266,0.302211,0.302238,0.999818,273,0.26093116949979117,2.8,1.7,0.4136585478559715,7.3,2.3,16.08,0.32,69,0.08245762303280928,4.0,1.5,0.20907013700720306,16.4,3.3,16.13,0.3,3.3083460465249592,3.45836104651928,6.6660000669123605,0.02947015649836095,5.989296176193279,1.6544495961350063,1.7289945961354947,13.414715943302015,0.02663774056413274,4.639874296083296
9972307,0.598584,0.598576,0.59858,0.999987,268,0.08741626888903424,1.8,0.9,0.08754167172585274,1.9,0.9,15.79,0.45,23,0.014871342163048556,0.8,1.0,0.010902675457278674,0.9,0.7,15.66,1.13,1.6706106761105315,1.707165676110771,27.356038845395947,0.03425581232951104,7.095625643990364,0.9994854848469558,1.030370484847158,32.378177108416786,0.43067899397037357,4.943629290951828
9979905,0.338739,0.338739,0.338739,1.0,457,0.09510644119178001,7.9,2.5,0.09510644119178001,7.9,2.5,14.72,0.46,70,0.060502530183580316,5.0,1.8,0.060502530183580316,5.0,1.8,14.8,0.37,2.952127906235399,2.986017906234116,29.507229272288512,0.03536883669744001,19.93212346482669,1.0007629766561297,1.0254829766562916,40.45307443339194,0.10737942126653709,7.57050304121402
9980782,0.312339,0.312337,0.312338,0.999994,505,0.0793490527311094,1.3,1.0,0.08260459501841289,1.4,1.0,15.56,0.4,69,0.07794150121046767,4.8,1.4,0.08796635563552987,5.3,1.5,15.63,0.31,3.2016473027633,3.2355273027620175,29.515938607965104,0.03043223045572996,16.30827780136778,1.6008590546637766,1.6440290546640595,23.1642344219006,0.024163018432967438,6.100056702385415
9983476,0.443978,0.0,0.221989,0.0,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2523617331182666,2.286506733116974,29.28686484222749,0.07469138641827403,8.220517937546978,0.0,0.0,0.0,0.0,0.0
9983939,0.448081,0.448054,0.448068,0.99994,466,0.1654563083907904,10.4,2.3,0.18964521424213054,12.2,2.6,15.2,0.37,69,0.09839352398433264,2.5,1.5,0.09852544117345717,3.2,1.5,15.22,0.28,2.2317412558592635,2.2655862558579822,29.54646181231667,0.0438880734747343,17.97711073395229,2.2318717978654594,2.2374367978652487,179.69451932396365,0.027581407905513413,8.036669549219331
9984569,0.348742,0.348744,0.348743,1.000006,478,0.2851902097835659,2.2,1.1,0.28515827556771417,2.2,1.2,16.64,0.39,71,0.17613649585768879,9.8,3.3,0.16955683764679466,9.6,3.0,16.61,0.33,2.8674459867641753,2.953405986760921,11.633317822683315,0.011943803425952968,8.768920349117696,1.4337355071797373,1.4374455071797616,269.5417789739754,0.0316831694658458,7.245372366224251
9987252,0.55455,0.554549,0.55455,0.999998,404,0.11993835568025411,2.5,1.2,0.11993835568025411,2.5,1.2,16.1,0.67,69,0.07536373586036864,10.9,2.4,0.07320444123953503,10.9,2.3,16.28,0.5,1.8032636257197678,1.8398636257200076,27.322404371405703,0.07133734476147557,13.813894583537609,1.8032619349111154,1.806106934911134,351.49384885534226,0.10248675322692205,17.961519300964902
10030349,0.545073,0.545074,0.545074,1.000002,255,0.07690998565557866,8.7,2.1,0.07180397342288657,8.7,2.1,14.76,0.75,217,0.04991380697261071,16.4,2.6,0.04991380697261071,16.4,2.6,14.78,0.65,1.834615532636531,1.9186605326370816,11.898387768379425,0.08627608553597417,7.217162916397132,1.834626591704069,1.9186865917046196,11.896264572846167,0.017747405198639928,5.556905201345982
10040133,0.610543,0.610549,0.610546,1.00001,257,0.09369599965102618,0.9,0.9,0.09357217897293195,0.9,0.9,15.71,0.51,238,0.053190473689469615,2.8,1.7,0.05087130719710735,2.9,1.6,15.67,0.4,1.6378864786287415,1.64070147862876,355.23978685380064,0.10198015284270162,8.758600983836779,1.6378711789622928,1.6414711789623164,277.777777775958,0.009165161681883058,12.05120417206019
