LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,LCtype,IndicatorType,ChiType,BE_score
7856049,0.541363,0.541368,0.5414,1.0,253,0.0645679251032235,9.8,2.2,0.1744193281824505,61.4,5.4,14.4,0.73,79,0.0657620792567423,8.0,2.2,0.1162177939276493,19.1,3.6,14.53,0.46,1.8472,1.9249,12.865,0.0993,9.6066,1.8472,1.85,349.6503,0.0633,15.9413,0.27,1e-05,2,NaN,NaN,NaN
7862869,0.295311,0.295312,0.2953,1.0,270,0.0470420744021632,2.6,1.3,0.1316742849736514,28.1,3.6,14.57,0.44,197,0.0566146672396543,2.4,1.3,0.0873082890662741,10.3,2.1,14.61,0.33,3.3863,3.4541,14.7493,0.0281,11.1942,3.3863,3.3891,356.5062,0.0208,20.3798,0.11,0.0,1,NaN,NaN,NaN
7874933,0.999918,0.526279,0.7631,0.5263,284,0.0001276192373302,51.4,6.8,0.3127689741325565,29.1,4.8,15.7,3463.85,205,0.0288000350429853,4.7,1.7,0.6804233556300651,223.9,14.7,15.69,0.81,1.0001,1.0334,29.9715,0.2259,6.1453,1.9001,1.9513,19.5484,0.0196,13.9466,3463.04,0.62068,2,NaN,NaN,NaN
7908628,0.549017,0.549028,0.549,1.0,263,0.049393632475553,1.8,1.1,0.1143579694850935,8.0,1.9,15.27,0.88,140,0.0231923954620015,2.6,1.2,0.0492276192490001,10.2,2.3,15.36,0.65,1.8214,1.8442,43.9657,0.0674,7.1387,1.8214,1.8245,326.7974,0.0485,10.0699,0.23,2e-05,1,NaN,NaN,NaN
7925995,0.476607,0.476607,0.4766,1.0,270,0.0369933634993698,3.1,1.5,0.0449536788358572,14.3,1.5,15.08,1.14,63,0.0262433303565049,3.7,2.1,0.0307926330569134,14.0,2.2,15.18,0.97,2.0982,2.1458,20.9798,0.0589,8.9378,1.0491,1.0654,61.0128,0.1131,8.0378,0.17,0.0,1,NaN,NaN,NaN
7997579,0.486693,0.486689,0.4867,1.0,465,0.1527172050601566,2.6,1.3,0.1578256971691413,2.9,1.3,16.32,0.77,45,0.1038396853228787,8.4,2.6,0.0900129356653953,7.0,2.5,16.54,0.48,2.0547,2.0886,29.4551,0.0694,10.7203,2.0546,2.0601,182.8154,0.0622,6.5504,0.29,1e-05,1,NaN,NaN,NaN
8003415,0.640889,0.640884,0.6409,1.0,296,0.0836095134719936,5.7,1.8,0.0971550391066376,6.8,2.0,15.15,0.54,85,0.0341802161809215,1.9,1.2,0.0492346243295287,2.4,1.7,15.16,0.43,1.5603,1.5943,29.4681,0.0626,8.9995,1.5603,1.5997,25.4388,0.0155,6.5723,0.11,1e-05,1,NaN,NaN,NaN
8010233,0.732549,0.732546,0.7325,1.0,490,0.0654577421221759,3.3,1.5,0.1215875836389077,10.1,2.6,15.02,0.45,84,0.0423195658097559,2.5,1.4,0.087797027543992,14.4,2.7,14.99,0.39,1.3651,1.4137,20.5656,0.0623,7.1684,1.3651,1.3679,356.5062,0.0836,16.8644,0.06,0.0,1,NaN,NaN,NaN
8015684,0.365534,0.365534,0.3655,1.0,367,0.0804129828549423,2.4,1.3,0.3993202270683575,24.2,4.6,15.22,0.42,80,0.0394888674127581,1.1,1.0,0.1183050566555623,9.9,3.3,15.28,0.28,2.7357,2.7696,29.4985,0.0627,17.695,1.3679,1.3776,102.8278,0.0491,7.0814,0.14,0.0,2,NaN,NaN,NaN
8027315,0.4805,0.480501,0.4805,1.0,472,0.0381719054294616,2.6,1.1,0.0381719054294616,2.6,1.1,15.22,1.07,70,0.0226616123014582,4.5,1.4,0.0195262728628016,5.6,1.2,15.34,0.85,2.0812,2.115,29.5247,0.0382,11.0976,2.0811,2.1204,25.4874,0.0294,6.9339,0.22,0.0,1,NaN,NaN,NaN
