LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
3941776,0.532222,0.532209,0.532216,0.999976,271,18.8,2.8,21.2,2.9,14.88,0.77,549,89.0,6.0,90.4,6.3,14.92,0.61,1.8789,1.9253,21.5564,0.065,9.3459,1.879,1.8844,184.1621,0.0104,16.0939,0.16,2e-05,-,LZ5,7
3960704,0.645879,0.645834,0.645856,0.99993,297,4.6,1.6,8.5,1.8,15.48,0.72,671,20.6,2.6,30.9,3.3,15.62,0.7,1.5483,1.585,27.2442,0.068,8.2365,1.5484,1.5539,182.9826,0.0197,20.0859,0.02,7e-05,-,LZ3,5
4101289,0.379225,0.37925,0.379238,1.000066,256,2.0,1.2,3.1,1.4,15.72,0.39,657,9.0,2.7,11.8,3.1,15.66,0.37,2.637,2.7048,14.7308,0.0266,8.732,2.6368,2.6416,209.205,0.002,9.3479,0.02,7e-05,-,LZ3,5
4234952,0.566338,0.566348,0.566343,1.000018,461,1.5,0.9,1.6,0.9,16.34,0.59,179,27.3,3.6,28.9,4.0,16.37,0.77,1.7657,1.7995,29.5727,0.0771,12.5348,1.7657,1.7712,180.1802,0.012,13.6865,0.18,2e-05,-,LZ4,6
4282396,0.392234,0.392238,0.392236,1.00001,311,11.6,2.4,11.9,2.6,15.25,0.51,885,47.1,5.9,47.3,5.9,15.34,0.54,2.5495,2.5833,29.5465,0.064,13.6785,2.5495,2.555,181.1594,0.0014,13.4329,0.03,1e-05,-,LZ5,5
4320492,0.361005,0.360942,0.360974,0.999825,480,15.1,3.7,60.7,8.5,14.44,0.26,290,11.2,1.8,59.3,7.9,14.41,0.29,2.77,2.8039,29.5116,0.0479,22.7361,2.7705,2.7761,180.9955,0.0204,18.423,0.03,0.00017,-,LZ4,6
4327168,0.330944,0.330937,0.33094,0.999979,482,1.4,1.1,1.8,1.2,15.62,0.39,182,11.3,2.8,14.0,3.0,15.62,0.56,3.0217,3.0555,29.5116,0.0684,24.8728,3.0217,3.0299,121.8769,0.0161,32.6421,0.17,2e-05,-,LZ3,5
4512465,0.533053,0.533051,0.533052,0.999996,233,4.3,1.1,4.3,1.2,15.51,0.83,1039,47.6,3.4,47.5,3.5,15.43,1.13,1.876,1.9255,20.1816,0.092,5.9057,1.876,1.9394,15.7791,0.0079,17.9495,0.3,0.0,-,LZ4,6
4551971,0.532348,0.532366,0.532357,1.000034,291,1.9,1.1,3.2,1.2,15.4,0.98,582,53.4,3.7,77.8,4.1,15.3,1.24,1.8785,1.9406,16.1005,0.0805,6.6127,1.8784,1.9406,16.0862,0.0133,17.5356,0.26,3e-05,-,LZ4,7
4804945,0.556172,0.556217,0.556194,1.000081,279,12.5,2.5,13.0,2.8,15.49,0.58,889,100.5,7.8,101.2,7.4,15.47,0.56,1.798,1.8683,14.2268,0.0349,6.1948,1.7979,1.8017,258.3979,0.0033,11.3557,0.02,8e-05,-,LZ5,7
4912051,0.571577,0.571435,0.571506,0.999752,638,9.4,2.1,24.7,2.9,15.61,0.63,311,133.5,8.2,193.3,10.5,15.75,0.7,1.7495,1.7835,29.4855,0.0387,11.1132,1.75,1.7528,356.5062,0.009,14.0683,0.07,0.00025,-,LZ5,8
5168861,0.597417,0.597442,0.59743,1.000042,198,5.0,1.7,6.3,1.9,14.91,0.59,691,21.9,3.1,28.0,3.5,14.87,0.58,1.6739,1.7168,23.3127,0.081,6.1403,1.6738,1.6793,180.3427,0.0014,9.6862,0.01,4e-05,-,LZ4,5
5308437,0.46268,0.462679,0.46268,0.999998,365,88.0,3.7,88.0,3.7,14.07,0.92,634,16.6,2.5,16.7,2.5,13.86,1.08,2.1613,2.2406,12.6119,0.0695,15.6799,2.1613,2.2407,12.6056,0.0168,13.7483,0.16,0.0,-,LZ4,6
